year,county,num_vehicle,county
2010,Alameda,3,1
2010,Alameda,17,1
2010,Alameda,19,1
2010,Alameda,173,1
2010,Alameda,10939,1
2010,Alameda,10974,1
2010,Alameda,22720,1
2010,Alameda,840577,1
2010,Alpine,9,1
2010,Alpine,16,1
2010,Alpine,73,1
2010,Alpine,943,1
2010,Amador,1,1
2010,Amador,4,1
2010,Amador,16,1
2010,Amador,322,1
2010,Amador,489,1
2010,Amador,2065,1
2010,Amador,27584,1
2010,Butte,6,1
2010,Butte,8,1
2010,Butte,1570,1
2010,Butte,2441,1
2010,Butte,6887,1
2010,Butte,122257,1
2010,Calaveras,1,1
2010,Calaveras,3,1
2010,Calaveras,458,1
2010,Calaveras,693,1
2010,Calaveras,2982,1
2010,Calaveras,35499,1
2010,Colusa,4,1
2010,Colusa,68,1
2010,Colusa,468,1
2010,Colusa,1195,1
2010,Colusa,12875,1
2010,Contra Costa,10,1
2010,Contra Costa,15,1
2010,Contra Costa,117,1
2010,Contra Costa,9703,1
2010,Contra Costa,10897,1
2010,Contra Costa,15506,1
2010,Contra Costa,630056,1
2010,Del Norte,1,1
2010,Del Norte,148,1
2010,Del Norte,340,1
2010,Del Norte,1142,1
2010,Del Norte,14452,1
2010,El Dorado,5,1
2010,El Dorado,6,1
2010,El Dorado,1993,1
2010,El Dorado,2056,1
2010,El Dorado,7074,1
2010,El Dorado,118846,1
2010,Fresno,2,1
2010,Fresno,16,1
2010,Fresno,18,1
2010,Fresno,3891,1
2010,Fresno,10732,1
2010,Fresno,10833,1
2010,Fresno,455655,1
2010,Glenn,1,1
2010,Glenn,81,1
2010,Glenn,467,1
2010,Glenn,1546,1
2010,Glenn,16625,1
2010,Humboldt,1,2
2010,Humboldt,3,2
2010,Humboldt,1164,1
2010,Humboldt,1402,1
2010,Humboldt,6840,1
2010,Humboldt,81537,1
2010,Imperial,1,1
2010,Imperial,13,1
2010,Imperial,404,1
2010,Imperial,2715,1
2010,Imperial,2986,1
2010,Imperial,99688,1
2010,Inyo,1,1
2010,Inyo,2,1
2010,Inyo,126,1
2010,Inyo,254,1
2010,Inyo,1079,1
2010,Inyo,13534,1
2010,Kern,1,1
2010,Kern,13,1
2010,Kern,26,1
2010,Kern,3156,1
2010,Kern,11303,1
2010,Kern,16092,1
2010,Kern,403815,1
2010,Kings,3,1
2010,Kings,6,1
2010,Kings,469,1
2010,Kings,2042,1
2010,Kings,2340,1
2010,Kings,64157,1
2010,Lake,1,3
2010,Lake,515,1
2010,Lake,835,1
2010,Lake,2573,1
2010,Lake,44205,1
2010,Lassen,93,1
2010,Lassen,374,1
2010,Lassen,2060,1
2010,Lassen,16574,1
2010,Los Angeles,5,1
2010,Los Angeles,12,1
2010,Los Angeles,79,1
2010,Los Angeles,99,1
2010,Los Angeles,123,1
2010,Los Angeles,153,1
2010,Los Angeles,1664,1
