year,county,public_level1,shared_private_level1,public_level2,shared_private_level2,public_dc_fast,shared_private_dc_fast,total,ZEV_sales
2021,Alameda,6,70,1671,1583,332,35,3697,15264
2021,Alpine,0,0,14,0,0,0,14,11
2021,Amador,0,0,25,6,8,0,39,65
2021,Butte,6,0,41,23,24,0,94,348
2021,Calaveras,0,2,7,0,12,0,21,92
2021,Colusa,0,0,18,2,18,0,38,18
2021,Contra Costa,3,2,600,599,245,2,1451,9583
2021,Del Norte,0,0,12,0,17,0,29,13
2021,El Dorado,1,0,124,5,49,0,179,937
2021,Fresno,8,1,574,329,208,13,1133,2364
2021,Glenn,0,0,4,0,10,0,14,27
2021,Humboldt,0,0,116,12,21,1,150,252
2021,Imperial,0,0,8,11,12,0,31,212
2021,Inyo,0,0,6,6,29,1,42,35
2021,Kern,4,1,155,53,199,4,416,1703
2021,Kings,0,0,43,60,101,0,204,207
2021,Lake,0,0,14,0,0,0,14,79
2021,Lassen,0,1,4,0,8,0,13,5
2021,Los Angeles,31,147,7380,12252,1042,98,20950,67296
2021,Madera,0,1,53,17,57,2,130,272
2021,Marin,1,0,463,187,87,1,739,3502
2021,Mariposa,0,0,14,0,10,0,24,30
2021,Mendocino,0,0,112,11,37,0,160,190
2021,Merced,10,2,51,21,39,2,125,429
2021,Modoc,0,0,4,0,8,0,12,3
2021,Mono,0,0,20,0,12,0,32,37
2021,Monterey,4,0,242,78,127,1,452,1344
2021,Napa,0,0,316,33,43,1,393,911
2021,Nevada,0,1,65,5,45,0,116,373
2021,Orange,4,0,2714,2581,533,20,5852,31917
2021,Placer,0,1,196,106,115,1,419,2699
2021,Plumas,0,0,7,0,0,0,7,34
2021,Riverside,3,1,981,186,367,10,1548,11097
2021,Sacramento,69,18,825,639,256,6,1813,6212
2021,San Benito,0,0,12,10,25,0,47,299
2021,San Bernardino,3,11,604,373,344,32,1367,8355
2021,San Diego,2,17,1984,7649,379,49,10080,21630
2021,San Francisco,36,6,688,772,104,24,1630,6812
2021,San Joaquin,0,0,158,191,83,10,442,3030
2021,San Luis Obispo,0,1,338,98,128,1,566,1343
2021,San Mateo,2,36,2112,2054,281,26,4511,8250
2021,Santa Barbara,4,2,328,157,64,2,557,1948
2021,Santa Clara,3,75,3849,11440,565,55,15987,22826
2021,Santa Cruz,1,0,166,78,62,0,307,1508
2021,Shasta,0,0,38,38,7,3,86,359
2021,Sierra,0,0,1,0,0,0,1,1
2021,Siskiyou,0,1,24,4,43,0,72,37
2021,Solano,5,0,250,126,85,5,471,2082
2021,Sonoma,4,0,434,228,113,15,794,2701
2021,Stanislaus,1,1,57,35,44,13,151,1143
2021,Sutter,0,0,5,6,16,0,27,222
2021,Tehama,0,0,11,4,20,0,35,73
2021,Trinity,0,0,4,0,2,0,6,8
2021,Tulare,0,3,42,11,45,22,123,608
2021,Tuolumne,0,0,34,6,38,0,78,91
2021,Unknown,0,0,0,14,0,0,14,0
2021,Ventura,5,0,423,332,126,8,894,5352
2021,Yolo,12,0,205,127,50,0,394,976
2021,Yuba,0,0,25,7,0,0,32,125
