,year,county,zev_pop,helper,non_zev_pop,zev_sales,gasoline_price,diesel_price,population,EV_chargers
0,2010,Alameda,20,Alameda2010,885402,13,3.090846154,3.157423077,1512986,0
1,2010,Amador,1,Amador2010,30480,1,3.090846154,3.157423077,37886,0
2,2010,Contra Costa,10,Contra Costa2010,666294,9,3.090846154,3.157423077,1052540,0
3,2010,Fresno,2,Fresno2010,481145,2,3.090846154,3.157423077,932039,0
4,2010,Humboldt,2,Humboldt2010,90949,1,3.090846154,3.157423077,135009,0
5,2010,Lake,1,Lake2010,48130,1,3.090846154,3.157423077,64735,0
6,2010,Los Angeles,360,Los Angeles2010,5533094,339,3.090846154,3.157423077,9823246,0
7,2010,Marin,15,Marin2010,174309,14,3.090846154,3.157423077,252904,0
8,2010,Monterey,1,Monterey2010,241846,2,3.090846154,3.157423077,416373,0
9,2010,Napa,4,Napa2010,90481,3,3.090846154,3.157423077,136759,0
10,2010,Orange,38,Orange2010,1866287,37,3.090846154,3.157423077,3015171,0
11,2010,Placer,5,Placer2010,241078,3,3.090846154,3.157423077,350021,0
12,2010,Riverside,4,Riverside2010,1203395,5,3.090846154,3.157423077,2201576,0
13,2010,Sacramento,6,Sacramento2010,807914,3,3.090846154,3.157423077,1421383,0
14,2010,San Benito,1,San Benito2010,35284,1,3.090846154,3.157423077,55516,0
15,2010,San Bernardino,4,San Bernardino2010,1123942,1,3.090846154,3.157423077,2040848,0
16,2010,San Diego,29,San Diego2010,1920251,28,3.090846154,3.157423077,3103212,0
17,2010,San Francisco,24,San Francisco2010,355409,20,3.090846154,3.157423077,805505,0
18,2010,San Joaquin,1,San Joaquin2010,377744,1,3.090846154,3.157423077,687127,0
19,2010,San Mateo,50,San Mateo2010,500508,40,3.090846154,3.157423077,719699,0
20,2010,Santa Barbara,11,Santa Barbara2010,251651,7,3.090846154,3.157423077,424231,0
21,2010,Santa Clara,93,Santa Clara2010,1132294,83,3.090846154,3.157423077,1786040,0
22,2010,Santa Cruz,6,Santa Cruz2010,167294,6,3.090846154,3.157423077,263147,0
23,2010,Sonoma,8,Sonoma2010,321825,7,3.090846154,3.157423077,484755,0
24,2010,Ventura,42,Ventura2010,532296,25,3.090846154,3.157423077,825097,0
25,2011,Alameda,362,Alameda2011,880124,452,3.8165,4.084019231,1530915,0
26,2011,Amador,6,Amador2011,30485,6,3.8165,4.084019231,37543,0
27,2011,Butte,8,Butte2011,132458,10,3.8165,4.084019231,219975,0
28,2011,Calaveras,4,Calaveras2011,39368,4,3.8165,4.084019231,45160,0
