,year,county,fuel_type,make,model,num_vehicle
0,2010,Alameda,Diesel,,,10939
1,2010,Alameda,Electric,Ford,Ranger,3
2,2010,Alameda,Electric,Tesla,Roadster,17
3,2010,Alameda,Flex Fuel,,,10974
4,2010,Alameda,Gasoline,,,840577
5,2010,Alameda,Gasoline Hybrid,,,22720
6,2010,Alameda,Natural Gas,,,173
7,2010,Alameda,Propane,,,19
8,2010,Alpine,Diesel,,,73
9,2010,Alpine,Flex Fuel,,,16
10,2010,Alpine,Gasoline,,,943
11,2010,Alpine,Gasoline Hybrid,,,9
12,2010,Amador,Diesel,,,2065
13,2010,Amador,Electric,Ford,Ranger,1
14,2010,Amador,Flex Fuel,,,489
15,2010,Amador,Gasoline,,,27584
16,2010,Amador,Gasoline Hybrid,,,322
17,2010,Amador,Natural Gas,,,4
18,2010,Amador,Propane,,,16
19,2010,Butte,Diesel,,,6887
20,2010,Butte,Flex Fuel,,,2441
21,2010,Butte,Gasoline,,,122257
22,2010,Butte,Gasoline Hybrid,,,1570
23,2010,Butte,Natural Gas,,,8
24,2010,Butte,Propane,,,6
25,2010,Calaveras,Diesel,,,2982
26,2010,Calaveras,Flex Fuel,,,693
27,2010,Calaveras,Gasoline,,,35499
28,2010,Calaveras,Gasoline Hybrid,,,458
29,2010,Calaveras,Natural Gas,,,1
30,2010,Calaveras,Propane,,,3
31,2010,Colusa,Diesel,,,1195
32,2010,Colusa,Flex Fuel,,,468
33,2010,Colusa,Gasoline,,,12875
34,2010,Colusa,Gasoline Hybrid,,,68
35,2010,Colusa,Propane,,,4
36,2010,Contra Costa,Diesel,,,10897
37,2010,Contra Costa,Electric,Tesla,Roadster,10
38,2010,Contra Costa,Flex Fuel,,,9703
39,2010,Contra Costa,Gasoline,,,630056
40,2010,Contra Costa,Gasoline Hybrid,,,15506
41,2010,Contra Costa,Natural Gas,,,117
42,2010,Contra Costa,Propane,,,15
43,2010,Del Norte,Diesel,,,1142
44,2010,Del Norte,Flex Fuel,,,340
45,2010,Del Norte,Gasoline,,,14452
46,2010,Del Norte,Gasoline Hybrid,,,148
47,2010,Del Norte,Natural Gas,,,1
48,2010,El Dorado,Diesel,,,7074
49,2010,El Dorado,Flex Fuel,,,1993
50,2010,El Dorado,Gasoline,,,118846
51,2010,El Dorado,Gasoline Hybrid,,,2056
52,2010,El Dorado,Natural Gas,,,6
53,2010,El Dorado,Propane,,,5
54,2010,Fresno,Diesel,,,10833
55,2010,Fresno,Electric,Tesla,Roadster,2
56,2010,Fresno,Flex Fuel,,,10732
